CODELIST_ID	TERM_ID	TERM_SYNONYM	SYNONYM_TYPE	SYNONYM_SOURCE
C67154	C100122	PEPSNG	EXACT	SEND
C67154	C100418	BLSTSID	EXACT	SEND
C67154	C100419	BLSTRSID	EXACT	SEND
C67154	C100420	TRCYANDP	EXACT	SEND
C67154	C100422	CLOTTIME	RELATED	VX
C67154	C100422	CLOTTING TIME	RELATED	VX
C67154	C100422	Clotting time	RELATED	VX
C67154	C100422	Clotting time (CLOT)	EXACT	VX
C67154	C100422	ECT	EXACT	SEND
C67154	C100423	CH50	EXACT	SEND
C67154	C100424	PLATHCT	EXACT	SEND
C67154	C100424	Platelet crit	EXACT	VX
C67154	C100424	Platelet crit (PCT)	EXACT	VX
C67154	C100424	Plateletcrit (PCT)	RELATED	VX
C67154	C100424	Plateletcrit (PCT)	RELATED	VX
C67154	C100425	HDLCLDLC	EXACT	SEND
C67154	C100426	BTP	EXACT	SEND
C67154	C100427	APOC2	EXACT	SEND
C67154	C100428	APOJ	EXACT	SEND
C67154	C100428	Clusterin	RELATED	VX
C67154	C100429	A1AGLP	EXACT	SEND
C67154	C100429	Alpha-1-acid glycoprotein	EXACT	VX
C67154	C100430	AAP	EXACT	SEND
C67154	C100430	Alanin aminopeptidase	EXACT	VX
C67154	C100430	Alanine amino-peptidase (AAP)	EXACT	VX
C67154	C100430	Alanine aminopeptidase	EXACT	VX
C67154	C100430	Alanine aminopeptidase (AAP)	EXACT	VX
C67154	C100430	Alanine aminopeptidase per creatinine (AAP/CREA)	NARROW	VX
C67154	C100430	Alanine aminopeptidase per mmol creatinine	NARROW	VX
C67154	C100430	Alanine aminopeptidase per period of sampling (AAP*VOL)	RELATED	VX
C67154	C100430	Alanine aminopeptidase per sampling period	RELATED	VX
C67154	C100430	Alanine aminopeptidase per sampling period (AAP*VOL)	RELATED	VX
C67154	C100430	Alanine aminopeptidase/creatinine	NARROW	VX
C67154	C100430	Alanine aminopeptidase/creatinine (AAP/CREA)	NARROW	VX
C67154	C100430	Alanine-aminopeptidase	EXACT	VX
C67154	C100430	Alanine-aminopeptidase*volume	NARROW	VX
C67154	C100430	Alanine-aminopeptidase/creatinine	NARROW	VX
C67154	C100430	Excreted AAP (AAP*Vol)	RELATED	VX
C67154	C100431	CXCR3	EXACT	SEND
C67154	C100432	CRLPLSMN	EXACT	SEND
C67154	C100433	KIM-1	RELATED	VX
C67154	C100433	KIM1	EXACT	SEND
C67154	C100433	Kim1	EXACT	VX
C67154	C100433	Kim1 in urine collected	NARROW	VX
C67154	C100434	NPAP	EXACT	SEND
C67154	C100435	PREALB	EXACT	SEND
C67154	C100436	PROTS	EXACT	SEND
C67154	C100436	S-protein	EXACT	VX
C67154	C100436	S-protein (S-TSP)	EXACT	VX
C67154	C100437	RBP	EXACT	SEND
C67154	C100438	SLTFRNRC	EXACT	SEND
C67154	C100439	IOHEXCLR	EXACT	SEND
C67154	C100440	EDTACLR	EXACT	SEND
C67154	C100441	DTPACLR	EXACT	SEND
C67154	C100442	NEUTIMLE	EXACT	SEND
C67154	C100443	LYMIMLE	EXACT	SEND
C67154	C100444	LYMIM	EXACT	SEND
C67154	C100444	Lymphocytes immature	EXACT	VX
C67154	C100445	GRANIMLE	EXACT	SEND
C67154	C100446	PERTHRBL	EXACT	SEND
C67154	C100446	Proerythroblast	EXACT	VX
C67154	C100446	Proerythroblasts	EXACT	VX
C67154	C100448	Fr. glycerin (FR.GLYC)	RELATED	VX
C67154	C100448	GLYCER:GLYCEROL	EXACT	VX
C67154	C100448	GLYCEROL	EXACT	VX
C67154	C100448	GLYCRLFR	EXACT	SEND
C67154	C100448	Total  glycerol	EXACT	VX
C67154	C100448	Total glycerol	EXACT	VX
C67154	C100448	Total glycerol (TOT-GLYC)	RELATED	VX
C67154	C100448	Total glycerol (Tot-Glyc)	RELATED	VX
C67154	C100449	GFRBSBTP	EXACT	SEND
C67154	C100450	GFRBSB2M	EXACT	SEND
C67154	C100452	OVAPARS	EXACT	SEND
C67154	C100452	PARASITES	EXACT	VX
C67154	C100452	Parasites	EXACT	VX
C67154	C100453	PLSMDM	EXACT	SEND
C67154	C100454	LKM1IGAB	EXACT	SEND
C67154	C100455	LKM1IMAB	EXACT	SEND
C67154	C100456	LKM1IAAB	EXACT	SEND
C67154	C100457	RNPAB	EXACT	SEND
C67154	C100458	SCL70AB	EXACT	SEND
C67154	C100459	JO1AB	EXACT	SEND
C67154	C100460	HLAB27AG	EXACT	SEND
C67154	C100461	A1MICG	EXACT	SEND
C67154	C100462	A1MCREAT	EXACT	SEND
C67154	C100463	DNASEBAB	EXACT	SEND
C67154	C100464	CTRIGAAB	EXACT	SEND
C67154	C100465	CTRIGMAB	EXACT	SEND
C67154	C100466	CTRIGGAB	EXACT	SEND
C67154	C100467	PEPSNGI	EXACT	SEND
C67154	C100468	PEPSNGII	EXACT	SEND
C67154	C100469	PEPSNGA	EXACT	SEND
C67154	C100470	PEPSNGC	EXACT	SEND
C67154	C100471	APROTCRS	EXACT	SEND
C67154	C100472	BETACRTN	EXACT	SEND
C67154	C101016	CDT	EXACT	SEND
C67154	C101017	DHPG	EXACT	SEND
C67154	C102257	ADP	EXACT	SEND
C67154	C102258	APLAB	EXACT	SEND
C67154	C102259	ARA	EXACT	SEND
C67154	C102260	CD34	EXACT	SEND
C67154	C102261	CLUECE	EXACT	SEND
C67154	C102262	AMPHETD	EXACT	SEND
C67154	C102263	ETPAUC	EXACT	SEND
C67154	C102264	ETPLT	EXACT	SEND
C67154	C102265	ETPLTR	EXACT	SEND
C67154	C102266	ETP	EXACT	SEND
C67154	C102267	ETPPH	EXACT	SEND
C67154	C102268	ETPPHR	EXACT	SEND
C67154	C102269	ETPTP	EXACT	SEND
C67154	C102270	ETPTPR	EXACT	SEND
C67154	C102271	FACTVL	EXACT	SEND
C67154	C102272	FACTXIV	EXACT	SEND
C67154	C102273	RETIHCR	EXACT	SEND
C67154	C102274	HCTa	EXACT	VX
C67154	C102274	RETCRRBC	EXACT	SEND
C67154	C102275	HYDROGEN	EXACT	SEND
C67154	C102275	Hydrogen ion concentration	RELATED	VX
C67154	C102276	HFR	EXACT	VX
C67154	C102276	High fluorescence reticulocytes (HFR)	EXACT	VX
C67154	C102276	High reticulocyte fluorescence (HFR)	EXACT	VX
C67154	C102276	High reticulocyte fluorescence ratios (HFR)	EXACT	VX
C67154	C102276	Hight fluorescent rate = immature reticulocytes (Reti HFR)	EXACT	VX
C67154	C102276	IRF	EXACT	SEND
C67154	C102276	Immature reticulocytes (RETI HFR)	NARROW	VX
C67154	C102276	Immature reticulocytes (RETI. HFR)	NARROW	VX
C67154	C102276	Percent reticulocyte (RET)	EXACT	VX
C67154	C102276	Reticulocyte fluorescence ratios - high (HFR)	EXACT	VX
C67154	C102276	Reticulocyte fluorescence ratios high (HFR)	EXACT	VX
C67154	C102276	Reticulocyte fluorescence ratios, high (HFR)	EXACT	VX
C67154	C102276	Reticulocytes immature	RELATED	VX
C67154	C102276	Reticulocytes with high fluorescence ratio (HFR)	RELATED	VX
C67154	C102277	APTTLAS	EXACT	SEND
C67154	C102278	BLSTLY	EXACT	SEND
C67154	C102278	LYMPHOBLASTS	EXACT	VX
C67154	C102278	Lymphoblasts	EXACT	VX
C67154	C102279	P50OXYGN	EXACT	SEND
C67154	C102280	IL2SRA	EXACT	SEND
C67154	C102281	SPERMMTL	EXACT	SEND
C67154	C102282	CONDUCTU	EXACT	SEND
C67154	C102282	Urine conductvity	EXACT	VX
C67154	C103343	PG	EXACT	SEND
C67154	C103344	TXB2_D11	EXACT	SEND
C67154	C103345	DOPAC	EXACT	SEND
C67154	C103348	ACT	EXACT	SEND
C67154	C103348	Act. coagulation time	EXACT	VX
C67154	C103348	Activated coagulation time	EXACT	VX
C67154	C103348	COAGULATION TIME	EXACT	VX
C67154	C103348	Coag. time min	RELATED	VX
C67154	C103348	Coagul. time	EXACT	VX
C67154	C103348	Coagulation Time	EXACT	VX
C67154	C103348	Coagulation time	EXACT	VX
C67154	C103348	Coagulation time	EXACT	VX
C67154	C103348	Coagulation time (COAG TIME)	EXACT	VX
C67154	C103348	Coagulation time (COAG. TIME)	EXACT	VX
C67154	C103348	Coagulation time (COAG.TIME)	EXACT	VX
C67154	C103348	Coagulation time (Coag. time)	EXACT	VX
C67154	C103348	Coagulation time, end	NARROW	VX
C67154	C103348	Coagulation time, start	NARROW	VX
C67154	C103348	Plasma recalcification time	EXACT	VX
C67154	C103348	Plasma recalcification time	EXACT	VX
C67154	C103348	Recalcificatin time	RELATED	VX
C67154	C103348	Recalcification time	RELATED	VX
C67154	C103348	Recalcification time	RELATED	VX
C67154	C103348	Recalcification time (R)	EXACT	VX
C67154	C103348	Recalcification time (R)	EXACT	VX
C67154	C103349	ALTCPHRL	EXACT	SEND
C67154	C103350	ATPVITE	EXACT	SEND
C67154	C103351	APLSMA2	EXACT	SEND
C67154	C103352	AMYLB38	EXACT	SEND
C67154	C103353	AMYLB40	EXACT	SEND
C67154	C103354	APOA4	EXACT	SEND
C67154	C103355	APOA5	EXACT	SEND
C67154	C103356	APOBAPA1	EXACT	SEND
C67154	C103357	CATNINB	EXACT	SEND
C67154	C103358	B2G1GGAB	EXACT	SEND
C67154	C103359	B2G1GMAB	EXACT	SEND
C67154	C103360	CAPHOSPD	EXACT	SEND
C67154	C103360	Calcium/Phosphate	RELATED	VX
C67154	C103360	Calcium/phosphate ratio (Ca_P)	NARROW	VX
C67154	C103361	CA1AG	EXACT	SEND
C67154	C103362	CA15_3AG	EXACT	SEND
C67154	C103363	CRDIGMAB	EXACT	SEND
C67154	C103364	CD1	EXACT	SEND
C67154	C103365	CD14	EXACT	SEND
C67154	C103366	CD2	EXACT	SEND
C67154	C103367	CD2LY	EXACT	SEND
C67154	C103368	CD20	EXACT	SEND
C67154	C103369	CD5	EXACT	SEND
C67154	C103369	CD5+	EXACT	VX
C67154	C103369	Lymphocytes CD5+ (pan T)	RELATED	VX
C67154	C103370	CD56	EXACT	SEND
C67154	C103380	CETPA	EXACT	SEND
C67154	C103381	CDFTXN	EXACT	SEND
C67154	C103382	CTTIGGAB	EXACT	SEND
C67154	C103383	COL4	EXACT	SEND
C67154	C103386	DRVVTRT	EXACT	SEND
C67154	C103387	DPPIVA	EXACT	SEND
C67154	C103388	DPTIGGAB	EXACT	SEND
C67154	C103395	FACTIXA	EXACT	SEND
C67154	C103396	FACTVA	EXACT	SEND
C67154	C103397	FACTVIIA	EXACT	SEND
C67154	C103397	Factor VII activity	EXACT	VX
C67154	C103398	FCTVIIAA	EXACT	SEND
C67154	C103399	FCTVIIIA	EXACT	SEND
C67154	C103402	HDLPSZ	EXACT	SEND
C67154	C103403	HPLIGGAB	EXACT	SEND
C67154	C103404	HBDNA	EXACT	SEND
C67154	C103405	ALBA	RELATED	VX
C67154	C103405	HALBAB	EXACT	SEND
C67154	C103406	HAMAB	EXACT	SEND
C67154	C103407	BLASTIMM	EXACT	SEND
C67154	C103408	IAIGGAB	EXACT	SEND
C67154	C103409	IBIGGAB	EXACT	SEND
C67154	C103410	ILE	EXACT	SEND
C67154	C103412	LDLPSZ	EXACT	SEND
C67154	C103413	LTB4	EXACT	SEND
C67154	C103414	LTD4	EXACT	SEND
C67154	C103415	LTE4	EXACT	SEND
C67154	C103418	MYELINAB	EXACT	SEND
C67154	C103419	Beta-N-Acetyl-D-glucosaminidase (B-NAG)	RELATED	VX
C67154	C103419	Beta-N-acetyl-glucosaminidase (NAG)	EXACT	VX
C67154	C103419	N-ACETYL-ß-GLUCOSAMINIDASE	EXACT	VX
C67154	C103419	N-ACETYL-ß-GLUCOSAMINIDASE/EXCRETED	RELATED	VX
C67154	C103419	N-Acetyl-B-D-Glucosaminidase	EXACT	VX
C67154	C103419	N-acetyl b-D-glucosaminidase	EXACT	VX
C67154	C103419	N-acetyl-b-D-glucosamidase	EXACT	VX
C67154	C103419	N-acetyl-b-D-glucosaminidase (NAG)	EXACT	VX
C67154	C103419	N-acetyl-b-d-glucosaminidase (NAG)	EXACT	VX
C67154	C103419	N-acetyl-b-glucosaminidase (NAG)	EXACT	VX
C67154	C103419	N-acetyl-beta-D-glucosaminidase	EXACT	VX
C67154	C103419	N-acetyl-beta-D-glucosaminidase (NAG)	EXACT	VX
C67154	C103419	N-acetyl-beta-D-glucosaminidase: volume	RELATED	VX
C67154	C103419	N-acetyl-beta-d-glucosaminidase (UNAG)	NARROW	VX
C67154	C103419	N-acetyl-{beta}-D-glucosaminidase	EXACT	VX
C67154	C103419	N-acetyl-ß-glucosaminidase (NAG)	EXACT	VX
